basho,rank,rikishi,height,weight
2004.07,Y1e,Asashoryu,185,140
2004.07,O1e,Kaio,185,175
2004.07,O1w,Chiyotaikai,181,155
2004.07,O2e,Musoyama,184,175
2004.07,S1e,Wakanosato,185,150.2
2004.07,S1w,Hokutoriki,182.5,153
2004.07,S2w,Tochiazuma,181,151
2004.07,K1e,Kotomitsuki,181.5,153.8
2004.07,K1w,Tamanoshima,188,156
2004.07,M1e,Kyokutenho,191,149
2004.07,M1w,Iwakiyama,185,175
2004.07,M2e,Kokkai,188,151
2004.07,M2w,Kotonowaka,191,176
2004.07,M3e,Kotoryu,182.5,140.2
2004.07,M3w,Kyokushuzan,182.5,138.4
2004.07,M4e,Shimotori,190,152
2004.07,M4w,Dejima,180,165
2004.07,M5e,Takekaze,172,142
2004.07,M5w,Kakizoe,177,139
2004.07,M6e,Tokitsuumi,185,137.5
2004.07,M6w,Tochinonada,186.5,163.9
2004.07,M7e,Miyabiyama,187.5,179
2004.07,M7w,Takamisakari,188.5,133.5
2004.07,M8e,Hakuho,190.5,135
2004.07,M8w,Kaiho,178,125
2004.07,M9e,Aminishiki,184,126.5
2004.07,M9w,Tochisakae,183,150.4
2004.07,M10e,Hayateumi,185,118.8
2004.07,M10w,Asasekiryu,184,137.4
2004.07,M11e,Tosanoumi,187,156
2004.07,M11w,Jumonji,186,155.5
2004.07,M12e,Buyuzan,181,164
2004.07,M12w,Kinkaiyama,184,163
2004.07,M13e,Kasugao,183,143.5
2004.07,M13w,Takanowaka,190,152
2004.07,M14e,Toyozakura,182,139
2004.07,M14w,Otsukasa,174.5,148.7
2004.07,M15e,Wakatoba,176,140
2004.07,M15w,Futeno,181,161
2004.07,M16e,Harunoyama,188,177
2004.07,M16w,Toki,190.5,172
2004.07,M17e,Tokitenku,185.5,127
2004.07,J1e,Roho,194,137.5
2004.07,J1w,Tamakasuga,182,152.8
2004.07,J2e,Wakanoyama,178,164
2004.07,J2w,Takanotsuru,188,174.8
2004.07,J3e,Kotooshu,203,131
2004.07,J3w,Asanowaka,176,140
2004.07,J4e,Toyonoshima,171,121
2004.07,J4w,Kobo,183,132
2004.07,J5e,Yotsukasa,177.5,151.5
2004.07,J5w,Hamanishiki,181,125
2004.07,J6e,Hagiwara,185,140.5
2004.07,J6w,Chiyotenzan,183.5,138
2004.07,J7e,Kasuganishiki,187,148.5
2004.07,J7w,Ushiomaru,176.5,166
2004.07,J8e,Gojoro,191,154
2004.07,J8w,Kitazakura,190,177
2004.07,J9e,Ama,184,113
2004.07,J9w,Juzan,180,163
2004.07,J10e,Kaido,177.5,150
2004.07,J10w,Oikari,176,135
2004.07,J11e,Bushuyama,191,160.5
2004.07,J11w,Sumanofuji,177,145
2004.07,J12e,Ichinotani,181.6,128
2004.07,J12w,Katayama,179,128
2004.07,J13e,Kotoshogiku,178.5,130
