basho,rank,rikishi,height,weight
2013.11,Y1e,Hakuho,193,150.7
2013.11,Y1w,Harumafuji,185,135
2013.11,O1e,Kisenosato,188,177
2013.11,O1w,Kotoshogiku,180,177
2013.11,O2e,Kakuryu,186,150
2013.11,O2w,Kotooshu,202,157
2013.11,S1e,Goeido,183,158.2
2013.11,S1w,Tochiozan,189,154
2013.11,K1e,Shohozan,177,134.5
2013.11,K1w,Okinoumi,190,154
2013.11,M1e,Myogiryu,187,148
2013.11,M1w,Aminishiki,186,152
2013.11,M2e,Kyokutenho,191,156
2013.11,M2w,Toyonoshima,169,149.4
2013.11,M3e,Takayasu,187,163
2013.11,M3w,Takekaze,170,144
2013.11,M4e,Homasho,185,149
2013.11,M4w,Tochinowaka,196,181
2013.11,M5e,Aoiyama,192,192.6
2013.11,M5w,Kaisei,195,187.8
2013.11,M6e,Chiyotairyu,182,166.8
2013.11,M6w,Ikioi,194,157
2013.11,M7e,Toyohibiki,185,185.2
2013.11,M7w,Endo,183,145.6
2013.11,M8e,Takarafuji,186,161.1
2013.11,M8w,Tenkaiho,184,189
2013.11,M9e,Sadanofuji,189,200.5
2013.11,M9w,Kitataiki,185,149
2013.11,M10e,Tokitenku,186,143
2013.11,M10w,Kotoyuki,176,162.4
2013.11,M11e,Masunoyama,180,174
2013.11,M11w,Tamawashi,190,161
2013.11,M12e,Jokoryu,187,162.4
2013.11,M12w,Fujiazuma,182,183.6
2013.11,M13e,Yoshikaze,175,140.3
2013.11,M13w,Gagamaru,185,202.6
2013.11,M14e,Kyokushuho,191,149.6
2013.11,M14w,Tokushoryu,182,170.6
2013.11,M15e,Shotenro,189,157.5
2013.11,M15w,Osunaarashi,189,146
2013.11,M16e,Aran,186,147
2013.11,M16w,Tamaasuka,185,158.5
2013.11,J1e,Kagamio,182,136
2013.11,J1w,Takanoiwa,181,145.5
2013.11,J2e,Chiyootori,179,178.5
2013.11,J2w,Azumaryu,192,147.2
2013.11,J3e,Terunofuji,192,158.5
2013.11,J3w,Chiyonokuni,184,143.8
2013.11,J4e,Asasekiryu,184,145
2013.11,J4w,Asahisho,174,144.6
