basho,rank,rikishi,height,weight
2007.11,Y1e,Hakuho,192,152.9
2007.11,Y1w,Asashoryu,184,148
2007.11,O1e,Kotomitsuki,182,154
2007.11,O1w,Chiyotaikai,181,158.5
2007.11,O2e,Kotooshu,203,145.5
2007.11,O2w,Kaio,184.5,172.7
2007.11,S1e,Aminishiki,185,136
2007.11,S1w,Asasekiryu,184.5,136
2007.11,K1e,Ama,186,124
2007.11,K1w,Kotoshogiku,180,150.5
2007.11,M1e,Homasho,187,146
2007.11,M1w,Miyabiyama,188,181.5
2007.11,M2e,Kisenosato,186,160
2007.11,M2w,Dejima,180,156.5
2007.11,M3e,Kakuryu,187,132.4
2007.11,M3w,Tokitenku,187,148
2007.11,M4e,Toyonoshima,170,135.4
2007.11,M4w,Kyokutenho,192,155
2007.11,M5e,Takekaze,171,138.5
2007.11,M5w,Kasugao,184,150
2007.11,M6e,Tamanoshima,187.5,156.8
2007.11,M6w,Goeido,182,134.2
2007.11,M7e,Toyohibiki,183.5,172
2007.11,M7w,Tochinonada,187,163
2007.11,M8e,Wakanosato,184,153.8
2007.11,M8w,Takamisakari,188,135.8
2007.11,M9e,Tamakasuga,182,154.5
2007.11,M9w,Futeno,180.5,152.2
2007.11,M10e,Hokutoriki,182.5,148
2007.11,M10w,Yoshikaze,176.5,126.5
2007.11,M11e,Tosanoumi,186,157.3
2007.11,M12e,Roho,195,153
2007.11,M12w,Hakurozan,189,137
2007.11,M13e,Kokkai,189,153
2007.11,M13w,Wakanoho,195,152
2007.11,M14e,Kakizoe,178,138
2007.11,M14w,Kaiho,177,121
2007.11,M15e,Tochiozan,187,143.4
2007.11,M15w,Wakakirin,185.5,125.2
2007.11,M16e,Baruto,197,174
2007.11,M16w,Kasuganishiki,188,150.5
2007.11,J1e,Iwakiyama,184,172.9
2007.11,J1w,Toyozakura,183,136
2007.11,J2e,Hochiyama,189,140
2007.11,J2w,Hakuba,186.5,118.4
2007.11,J3e,Tochinohana,184.5,137.6
2007.11,J3w,Otsukasa,175,145.5
2007.11,J4e,Shimootori,188,146
2007.11,J4w,Kitazakura,189,169
2007.11,J5e,Chiyohakuho,180.5,127.5
2007.11,J5w,Ryuo,176.5,146.5
2007.11,J6e,Shunketsu,176,121.6
2007.11,J6w,Kotokasuga,182,135.5
2007.11,J7e,Kitataiki,184,138
2007.11,J7w,Ushiomaru,176,166.1
2007.11,J8e,Koryu,186,149
2007.11,J8w,Masatsukasa,183,133.9
2007.11,J9e,Satoyama,177,118.7
2007.11,J9w,Hoshihikari,182,106.2
2007.11,J10e,Mokonami,187,142.5
2007.11,J10w,Shirononami,173,130.9
2007.11,J11e,Ichihara,180,166.2
2007.11,J11w,Katayama,179,141.5
2007.11,J12e,Jumonji,185,159
2007.11,J12w,Asofuji,179,123.2
2007.11,J13e,Sakaizawa,188,161.5
2007.11,J13w,Kyokunankai,180,137
2007.11,J14e,Sagatsukasa,166.5,120
2007.11,J14w,Yoshiazuma,196,161.3
2007.11,Ms1e,Tochinoshin,191,142.2
